"author_id","author_name","author_year","authority_type","auth_list","input_date","last_update"
420,Andrew Murray,,p,,2007-11-29,2007-11-29
421,Josh McDowell & Bart Larson,,p,,2007-11-29,2007-11-29
422,Ajith Fernando,,p,,2007-11-29,2007-11-29
423,Wim Salampessy,,p,,2007-11-29,2007-11-29
424,Ray Pritchard,,p,,2007-11-29,2007-11-29
425,Joyce Landorf,,p,,2007-11-29,2007-11-29
426,Tim Stafford,,p,,2007-11-29,2007-11-29
427,Dr.W.Stanley Heath,,p,,2007-11-29,2007-11-29
428,J.E. Awondatu,,p,,2007-11-29,2007-11-29
429,Hisar M. Pasaribu,,p,,2007-11-29,2007-11-29
430,Jon Tal Murphree,,p,,2007-11-29,2007-11-29
431,Dave Pelzer,,p,,2007-11-29,2007-11-29
432,Dr. Tony Evans,,p,,2007-11-29,2007-11-29
433,C. S. Lewis,,p,,2007-11-29,2007-11-29
